Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-16T18:53:47.870Z,,55.724537,24.360546,70.9,0.0,66.3,99,13.82,-0.70,77,0,94,19.3,65.1,998.8,349
2026-06-16T18:57:11.530Z,,55.724537,24.360546,70.9,0.0,66.3,99,13.82,-0.70,77,0,94,19.3,65.1,998.8,349
2026-06-16T18:58:21.528Z,,55.724537,24.360546,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.7,66.2,999.4,345
2026-06-16T18:59:21.528Z,,55.724537,24.360546,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.7,66.2,999.4,345
2026-06-16T19:00:21.529Z,,55.724537,24.360546,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.7,66.2,999.4,345
2026-06-16T19:01:21.529Z,,55.724537,24.360546,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.7,66.2,999.4,345
2026-06-16T19:02:14.668Z,,55.724537,24.360546,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.7,66.2,999.4,345
2026-06-16T19:03:24.667Z,,55.724537,24.360546,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.7,66.2,999.4,345
2026-06-16T19:04:24.668Z,,55.724533,24.360788,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.6,66.5,999.4,338
2026-06-16T19:08:02.333Z,,55.724533,24.360788,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.6,66.5,999.4,338
2026-06-16T19:09:02.749Z,,55.724533,24.360788,70.9,0.0,66.3,98,13.26,-0.80,77,0,94,17.6,66.5,999.4,338
