Data;Žemėlapis;Platuma (Lat);Ilguma (Lon);Aukštis (m);Greitis (km/h);Kryptis (°);Baterija SOC (%);Baterija (V);Baterija (A);Vanduo (%);Vandens TDS (ppm);Dujos (%);Temperatūra (°C);Drėgmė (%);Slėgis (hPa);oro kokybe;Miegam.Temp°C;Miegam.Drėgmė% ;Galia W;Ah likutis;Uptime min;ikelimo laikas;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;96;13,27;-0,7;38;0;94;16,8;55,4;1007,2;323;17,1;55;9;105,1;3541;2026-06-01 1:24:10;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;93;13,26;-0,8;36;0;94;14,5;56,2;1007,4;333;14,9;56;11;102,2;3781;2026-06-01 5:24:13;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;98;13,56;7,2;36;0;94;21,9;47,8;1007,9;325;18;57;98;107,9;4021;2026-06-01 9:24:15;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;99;14,43;0;34;0;94;32,8;38;1008;317;29;49;0;109;4261;2026-06-01 13:24:18;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;99;14,43;0,6;35;0;95;36,3;34,4;1007,3;320;32,3;45;9;109;4501;2026-06-01 17:24:20;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;98;13,27;-0,7;37;0;95;26,5;41,1;1007,3;323;26;44;9;107,8;4741;2026-06-01 21:24:24;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;95;13,27;-0,7;38;0;94;19,1;46,9;1008;355;19,6;47;9;105;4982;2026-06-02 1:24:25;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;93;13,27;-0,7;39;0;94;15,3;49,6;1008,1;369;15,9;50;9;102,1;5222;2026-06-02 5:24:28;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;98;13,58;7;40;0;94;23,8;42,7;1008,2;356;19,6;52;95;107,5;5462;2026-06-02 9:24:30;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;99;14,42;0,1;37;0;95;36,6;33,9;1007,7;333;32,3;44;1;109;5702;2026-06-02 13:24:33;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;99;14,41;0,7;37;0;95;36,6;33,9;1006,5;314;32,8;43;10;109;5942;2026-06-02 17:24:35;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;98;13,27;-0,7;38;0;95;27,8;40,8;1006,3;326;27,5;44;9;108;6182;2026-06-02 21:24:38;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;96;13,28;-0,7;38;0;95;21;46,2;1006,7;355;21,6;46;9;105,1;6422;2026-06-03 1:24:40;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;93;13,27;-0,7;38;0;94;16,9;48,9;1007,6;351;17,5;49;9;102,2;6662;2026-06-03 5:24:43;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;98;13,56;6,8;36;0;94;24,9;42,7;1007,5;339;20,8;51;92;107,6;6902;2026-06-03 9:24:46;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;99;14,42;0;37;0;95;36,5;33,9;1006,9;329;32,4;44;0;109;7142;2026-06-03 13:24:48;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;99;14,42;0,1;36;0;95;38;31,6;1005,2;325;34,7;40;1;109;7382;2026-06-03 17:24:50;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;98;13,27;-0,7;36;0;95;29,2;36,9;1005,4;328;28,7;41;9;107,7;7622;2026-06-03 21:24:53;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;95;13,28;-0,7;38;0;95;21,9;42,2;1006,6;332;22,4;43;9;104,8;7862;2026-06-04 1:24:55;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;0;0;93;13,27;-0,7;37;0;95;17,1;46,1;1006,6;335;17,8;46;9;101,9;8102;2026-06-04 5:24:58;;;;;;;;;
2026-05-29 17:45:18;📌 Žemėlapis;54,984592;23,579077;95,3;-1;0;92;13,7;27,6;36;0;95;16,8;51;1006,8;448;17,1;48;378;101,5;8269;2026-06-04 8:18:24;;;;;;;;;
2026-06-04 8:18:13;📌 Žemėlapis;55,736969;24,339045;67,1;15,9;342,1;95;13,71;23,9;38;0;95;17,7;54,4;1007,5;628;17,3;50;328;104,4;8275;2026-06-04 8:18:24;;;;;;;;;
2026-06-04 8:18:32;📌 Žemėlapis;55,738972;24,33864;76,2;46;9,4;95;13,7;22,1;39;0;95;18;54,3;1007,5;627;17,4;50;303;104,6;8276;2026-06-04 8:21:54;;;;;;;;;
2026-06-04 8:19:35;📌 Žemėlapis;55,742538;24,340414;91,3;24,2;17,9;95;13,69;21,3;35;0;95;18,4;53,7;1007,5;621;17,5;50;292;104,9;8277;2026-06-04 8:21:54;;;;;;;;;
2026-06-04 8:20:15;📌 Žemėlapis;55,743382;24,340372;84,8;21,9;261,1;96;13,7;22,2;30;0;95;18,6;53,4;1007,5;611;17,5;51;304;105,2;8277;2026-06-04 8:21:54;;;;;;;;;
2026-06-04 8:20:45;📌 Žemėlapis;55,74379;24,336399;84,2;31,6;304,6;96;13,7;21,7;37;0;95;18,7;53,6;1007,4;607;17,6;51;297;105,3;8278;2026-06-04 8:21:54;;;;;;;;;
2026-06-04 8:21:44;📌 Žemėlapis;55,747765;24,325781;105,7;50;305,2;96;13,7;19,7;43;0;95;18,9;53,7;1007;591;17,6;51;270;105,7;8279;2026-06-04 8:21:54;;;;;;;;;
2026-06-04 8:22:44;📌 Žemėlapis;55,752151;24,31415;97,4;53,1;311,6;96;13,78;27,8;37;0;95;18,8;54;1007,3;574;17,7;51;383;106,1;8280;2026-06-04 8:24:24;;;;;;;;;
2026-06-04 8:23:02;📌 Žemėlapis;55,753288;24,312639;97,5;30,2;337,2;97;13,76;26,4;37;0;95;18,7;54,3;1007,6;572;17,6;52;363;106,3;8280;2026-06-04 8:24:24;;;;;;;;;
2026-06-04 8:23:24;📌 Žemėlapis;55,754128;24,312305;98,4;22,3;44,5;97;13,79;27;32;0;95;18,7;54,3;1007,6;572;17,6;52;372;106,4;8281;2026-06-04 8:24:24;;;;;;;;;
2026-06-04 8:23:45;📌 Žemėlapis;55,755013;24,31444;92,9;32,4;143,9;97;13,79;26,8;40;0;95;18,6;55,3;1007,3;559;17,6;53;370;106,6;8281;2026-06-04 8:24:24;;;;;;;;;
2026-06-04 8:24:15;📌 Žemėlapis;55,75391;24,317598;92,4;28,9;82,6;97;13,8;26,7;43;0;95;18,5;56;1007,2;551;17,4;53;368;106,8;8281;2026-06-04 8:24:24;;;;;;;;;
2026-06-04 8:24:35;📌 Žemėlapis;55,754269;24,318695;91;19,7;22,8;97;13,78;24,4;40;0;95;18,3;56,9;1007,7;557;17,3;54;336;106,9;8282;2026-06-04 10:07:36;;;;;;;;;
2026-06-04 8:54:33;📌 Žemėlapis;55,754536;24,318626;80,8;-1;0;99;14,44;0,1;28;0;95;25,2;44,4;1007,1;426;22,2;52;1;109;8378;2026-06-04 10:07:36;;;;;;;;;
2026-06-04 10:07:15;📌 Žemėlapis;55,754269;24,316692;76,9;5,5;0;99;14,33;-1,1;30;0;95;24,2;45,5;1007,2;384;22,2;51;16;109;8385;2026-06-04 10:07:36;;;;;;;;;
2026-06-04 10:07:45;📌 Žemėlapis;55,754795;24,314671;74,4;16,6;318,5;99;14,28;-0,7;30;0;95;24,2;45,8;1007,2;380;22,1;51;10;109;8385;2026-06-04 10:10:46;;;;;;;;;
2026-06-04 10:08:04;📌 Žemėlapis;55,754902;24,313435;82,1;22,9;232,4;99;14,24;-1;27;0;94;24,2;45,3;1007,1;384;22,1;51;14;109;8385;2026-06-04 10:10:46;;;;;;;;;
2026-06-04 10:08:36;📌 Žemėlapis;55,753574;24,312147;96,9;18;141,3;99;14,43;0,8;27;0;95;24,1;45,1;1006,9;379;22;51;12;109;8386;2026-06-04 10:10:46;;;;;;;;;
2026-06-04 10:09:35;📌 Žemėlapis;55,749092;24,321976;92,9;47,5;123;99;14,43;0;27;0;95;24,1;45,6;1006,5;374;22;51;0;109;8387;2026-06-04 10:10:46;;;;;;;;;
2026-06-04 10:10:32;📌 Žemėlapis;55,745239;24,332413;87,8;50,9;119,3;99;14,44;0;27;0;95;24,2;45,4;1006,4;379;22,1;51;0;109;8388;2026-06-04 10:10:46;;;;;;;;;
2026-06-04 10:11:25;📌 Žemėlapis;55,743305;24,337204;84,7;26,5;165,7;99;14,44;0,1;27;0;95;24,3;45,1;1006,9;383;22,1;51;1;109;8389;2026-06-04 10:12:55;;;;;;;;;
2026-06-04 10:11:34;📌 Žemėlapis;55,74313;24,338112;82,9;27,8;89,5;99;14,43;0;27;0;95;24,4;45,1;1006,8;400;22;51;0;109;8389;2026-06-04 10:12:55;;;;;;;;;
2026-06-04 10:11:46;📌 Žemėlapis;55,743053;24,340055;92,9;33,3;138,3;99;14,43;0;30;0;95;24,4;45,1;1006,8;400;22;51;0;109;8389;2026-06-04 10:12:55;;;;;;;;;
2026-06-04 10:11:56;📌 Žemėlapis;55,742409;24,340252;88,7;29,9;194;99;14,43;0;36;0;95;24,4;45,1;1006,8;400;22;51;0;109;8389;2026-06-04 10:12:55;;;;;;;;;
2026-06-04 10:12:45;📌 Žemėlapis;55,736954;24,33894;88,8;44,4;161,9;99;14,44;0;32;0;95;24,4;45,1;1006,6;405;22,1;51;0;109;8390;2026-06-04 10:12:55;;;;;;;;;
