Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-17T05:12:10.834Z,,55.724648,24.360718,70.9,0.0,66.3,94,13.26,-0.80,77,0,93,14.3,71.3,1002.0,371
2026-06-17T05:14:49.022Z,,55.724506,24.360886,70.9,0.0,66.3,94,13.26,-0.80,77,0,93,37.0,74.0,1002.8,371
2026-06-17T05:15:49.983Z,,55.724514,24.360867,70.9,0.0,66.3,94,13.26,-0.80,77,0,93,37.0,74.0,1002.8,371
2026-06-17T05:56:48.582Z,,55.724514,24.360867,70.9,0.0,66.3,94,13.26,-0.80,77,0,93,37.0,74.0,1002.8,371
2026-06-17T12:38:04.805Z,,55.724640,24.360683,70.9,0.0,66.3,99,14.44,0.00,68,0,94,19.4,65.5,1004.3,386
2026-06-17T12:39:05.550Z,,55.724640,24.360683,70.9,0.0,66.3,99,14.44,0.00,68,0,94,19.4,65.5,1004.3,386
2026-06-17T14:05:23.857Z,,55.724640,24.360683,70.9,0.0,66.3,99,14.44,0.00,68,0,94,19.4,65.5,1004.3,386
2026-06-17T14:05:50.608Z,,55.724628,24.360619,70.9,0.0,66.3,99,14.44,0.10,78,0,94,22.3,61.5,1005.1,340
2026-06-17T14:07:00.606Z,,55.724628,24.360619,70.9,0.0,66.3,99,14.44,0.10,78,0,94,22.3,61.5,1005.1,340
2026-06-17T14:08:01.551Z,,55.724628,24.360619,70.9,0.0,66.3,99,14.44,0.10,78,0,94,22.3,61.5,1005.1,340
