Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2,Ren SOC,Ren V,Ren A,Ren Temp,DCC Saulė W,DCC Gen W,DCC Stadija
2026-07-07T05:35:47.039Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:36:07.675Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:36:17.676Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:36:34.939Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:36:54.938Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:37:04.937Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:37:25.675Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:37:35.675Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:37:45.676Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:37:55.678Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T05:38:41.232Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T07:59:25.779Z,,55.724628,24.360832,76.2,3.7,352.2,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,19,12,12,Tiesiai is generatoriaus
2026-07-07T07:59:54.715Z,,55.724575,24.360641,85.9,4.0,329.9,100,14.43,0.00,57,0,89,23.9,53.9,995.2,359,100.0,14.40,0.00,16,46,0,Boost
2026-07-07T08:01:04.623Z,,55.724602,24.360655,90.9,0.0,21.7,100,14.43,0.00,57,0,89,24.0,53.7,995.1,356,100.0,14.40,0.00,16,50,0,Boost
2026-07-07T08:02:04.659Z,,55.724590,24.360674,91.8,0.0,21.7,100,14.43,0.00,56,0,89,24.0,53.6,995.1,353,100.0,14.40,0.00,16,51,0,Boost
2026-07-07T08:03:14.623Z,,55.724602,24.360613,90.5,3.1,21.7,100,14.43,0.00,52,0,89,24.1,53.0,995.1,365,100.0,14.40,0.00,16,10,0,Boost
2026-07-07T08:04:14.808Z,,55.724628,24.360584,98.6,0.0,21.7,100,14.43,0.10,58,0,89,24.1,52.5,995.1,368,100.0,14.40,0.00,16,15,0,Boost
2026-07-07T08:05:24.623Z,,55.724602,24.360619,90.5,0.0,21.7,100,14.43,0.00,56,0,89,24.1,52.3,995.1,371,100.0,14.40,0.00,16,15,0,Boost
2026-07-07T08:06:04.623Z,,55.724632,24.360626,86.4,9.3,21.7,100,14.43,0.00,56,0,89,24.1,52.4,995.1,374,100.0,14.40,0.00,16,17,0,Boost
2026-07-07T08:07:05.361Z,,55.724628,24.360832,82.1,0.0,21.7,95,13.33,0.60,60,0,88,14.2,68.9,995.0,352,100.0,14.40,0.00,16,26,0,MPPT
2026-07-07T08:08:14.627Z,,55.724575,24.360655,82.5,0.0,21.7,100,14.43,0.10,57,0,89,24.0,51.6,995.2,390,100.0,14.50,0.00,16,49,54,Boost
2026-07-07T08:09:15.361Z,,55.724575,24.360655,82.5,0.0,21.7,100,14.44,0.00,55,0,89,24.0,51.6,995.2,390,100.0,14.50,0.00,16,53,58,Boost
2026-07-07T08:10:15.532Z,,55.724583,24.360695,91.8,0.0,132.4,100,14.43,0.00,50,0,89,24.0,52.5,995.2,488,100.0,14.50,0.00,16,45,49,Boost
2026-07-07T08:10:55.361Z,,55.724609,24.360708,89.7,5.2,132.4,100,14.44,0.00,55,0,89,24.0,53.2,995.2,505,100.0,14.50,0.00,16,47,51,Boost
2026-07-07T08:21:57.471Z,,55.724621,24.360636,81.3,0.0,287.0,100,14.43,2.00,53,0,89,23.9,53.6,995.2,800,100.0,14.50,0.00,16,47,51,Boost
2026-07-07T08:22:34.623Z,,55.724571,24.360737,80.4,5.3,287.0,100,14.43,0.00,55,0,89,23.9,53.9,995.2,797,100.0,14.50,0.00,16,47,50,Boost
2026-07-07T08:23:04.719Z,,55.724564,24.360699,83.1,3.8,287.0,100,14.43,0.00,58,0,89,23.9,54.2,995.2,790,100.0,14.40,0.00,16,46,49,Boost
2026-07-07T08:23:24.623Z,,55.724571,24.360819,82.7,4.6,74.0,100,14.43,0.00,57,0,89,23.9,54.2,995.2,782,100.0,14.50,0.00,16,48,51,Boost
2026-07-07T08:24:32.366Z,,55.724590,24.360685,82.1,0.0,350.5,100,14.44,0.00,57,0,89,23.8,54.0,995.2,762,100.0,14.50,0.00,16,47,51,Boost
2026-07-07T08:26:01.601Z,,55.724583,24.360674,85.8,0.0,350.5,100,14.43,0.00,51,0,89,23.8,53.9,995.2,747,100.0,14.40,0.00,16,47,51,Boost
2026-07-07T08:27:09.598Z,,55.724545,24.360695,77.6,0.0,350.5,100,14.42,0.70,56,0,89,23.7,54.7,995.2,650,100.0,14.40,0.00,16,45,48,Boost
2026-07-07T08:30:25.701Z,,55.724556,24.360737,78.8,0.0,342.9,100,14.42,0.00,56,0,89,23.7,54.7,995.2,650,100.0,14.40,0.00,16,45,48,Boost
2026-07-07T08:31:27.429Z,,55.724556,24.360613,91.6,0.0,339.1,100,14.43,0.00,50,0,90,23.7,54.0,995.1,772,100.0,14.40,0.00,16,46,0,Boost
